Date,Close
9/25/15,68.85
9/26/15,68.77
9/27/15,68.85
9/28/15,68.75
9/29/15,68.02
9/30/15,67.04
10/1/15,65.38
10/2/15,65.59
10/3/15,63.62
10/4/15,61.82
10/5/15,62.65
10/6/15,63.16
10/7/15,64.32
10/8/15,60.27
10/9/15,60.74
10/10/15,59.55
10/11/15,58.38
10/12/15,59.81
10/13/15,61.65
10/14/15,62.46
10/15/15,60.12
10/16/15,61.94
10/17/15,60.64
10/18/15,59.21
10/19/15,61.28
10/20/15,61.42
10/21/15,59.07
10/22/15,59.39
10/23/15,60.71
10/24/15,60.01
10/25/15,59.44
10/26/15,60.77
10/27/15,61.38
10/28/15,61.59
10/29/15,63.8
10/30/15,65.06
10/31/15,66.68
11/1/15,64.94
11/2/15,65.71
11/3/15,66.79
11/4/15,66.27
11/5/15,67.03
11/6/15,68.3
11/7/15,68.15
11/8/15,68.15
11/9/15,68.93
11/10/15,68.83
11/11/15,68.68
11/12/15,68.98
11/13/15,69.54
11/14/15,68.41
11/15/15,68.59
11/16/15,67.96
11/17/15,68.89
11/18/15,70.93
11/19/15,70.41
11/20/15,71.24
11/21/15,71.8
11/22/15,73.16
11/23/15,72.3
11/24/15,70.92
11/25/15,69.6
11/26/15,68.64
11/27/15,71.34
11/28/15,70.7
11/29/15,71.55
11/30/15,71.18
12/1/15,67.13
12/2/15,66.36
12/3/15,65.84
12/4/15,66.14
12/5/15,65.53
12/6/15,66.57
12/7/15,67.12
12/8/15,67.34
12/9/15,67.63
12/10/15,67.84
12/11/15,67.92
12/12/15,67.54
12/13/15,67.81
12/14/15,67.86
12/15/15,68.23
12/16/15,66.54
12/17/15,66.98
12/18/15,67
12/19/15,68.68
12/20/15,69.24
12/21/15,70.09
12/22/15,70.04
12/23/15,70.1
12/24/15,69.23
12/25/15,69.27
12/26/15,69.22
12/27/15,69.13
12/28/15,70.46
12/29/15,68.92
12/30/15,67.97
12/31/15,66.88
1/1/16,67.71
1/2/16,67.26
1/3/16,65.71
1/4/16,64.97
1/5/16,64.98
1/6/16,64.86
1/7/16,65.37
1/8/16,66.2
1/9/16,65.56
1/10/16,66.31
1/11/16,66.04
1/12/16,67.15
1/13/16,68.52
1/14/16,68.03
1/15/16,67.85
1/16/16,67.31
1/17/16,67.56
1/18/16,67.22
1/19/16,66.49
1/20/16,65.96
1/21/16,65.38
1/22/16,65.72
1/23/16,65.59
1/24/16,66.47
1/25/16,67.84
1/26/16,67.71
1/27/16,67.75
1/28/16,68.95
1/29/16,63.91
1/30/16,61.21
1/31/16,62.59
2/1/16,64.9
2/2/16,66.46
2/3/16,67.79
2/4/16,67.09
2/5/16,67.85
2/6/16,68.36
2/7/16,69.85
2/8/16,70.12
2/9/16,71.26
2/10/16,70.12
2/11/16,70.45
2/12/16,70.2
2/13/16,70.39
2/14/16,70.15
2/15/16,69.87
2/16/16,70.38
2/17/16,70.99
2/18/16,71.21
2/19/16,71.67
2/20/16,70.54
2/21/16,71.53
2/22/16,71.7
2/23/16,71.19
2/24/16,70.59
2/25/16,71.31
2/26/16,72.21
2/27/16,72.71
2/28/16,72.54
2/29/16,71.85
3/1/16,71.86
3/2/16,72.1
3/3/16,71.94
3/4/16,72.88
3/5/16,72.78
3/6/16,73.01
3/7/16,72.96
3/8/16,73.97
3/9/16,73.01
3/10/16,73.13
3/11/16,72.48
3/12/16,73.03
3/13/16,72.8
3/14/16,73.08
3/15/16,72.33
3/16/16,71.33
3/17/16,71.13
3/18/16,70.96
3/19/16,70.09
3/20/16,70.4
3/21/16,70.03
3/22/16,67.16
3/23/16,68.82
3/24/16,68.41
3/25/16,68.49
3/26/16,69.29
3/27/16,68.69
3/28/16,68.34
3/29/16,69.94
3/30/16,70.14
3/31/16,69.75
4/1/16,68.44
4/2/16,67.15
4/3/16,67.05
4/4/16,67.38
4/5/16,67.1
4/6/16,67.33
4/7/16,67.45
4/8/16,67.11
4/9/16,67.47
4/10/16,67.51
4/11/16,67.14
4/12/16,67.39
4/13/16,66.61
4/14/16,66.91
4/15/16,67.27
4/16/16,67.45
4/17/16,66.92
4/18/16,67.83
4/19/16,67.96
4/20/16,67.4
4/21/16,67.14
4/22/16,67.38
4/23/16,67.21
4/24/16,66.69
4/25/16,66.92
4/26/16,67.44
4/27/16,68.7
4/28/16,68.32
4/29/16,68.4
4/30/16,69.24
5/1/16,69.61
5/2/16,71.1
5/3/16,73.02
5/4/16,74.08
5/5/16,73.42
5/6/16,73.39
5/7/16,77.24
5/8/16,77.71
5/9/16,77.57
5/10/16,77.47
5/11/16,77.14
5/12/16,77.29
5/13/16,77.85
5/14/16,78.08
5/15/16,78.52
5/16/16,78.07
5/17/16,79.11
5/18/16,78.78
5/19/16,79.82
5/20/16,79.2
5/21/16,81
5/22/16,82.08
5/23/16,83.92
5/24/16,83.49
5/25/16,83.55
5/26/16,83.91
5/27/16,84.4
5/28/16,83.94
5/29/16,84.33
5/30/16,86.05
5/31/16,84.86
6/1/16,85.1
6/2/16,84.85
6/3/16,83.73
6/4/16,84.09
6/5/16,84.14
6/6/16,83.36
6/7/16,83.32
6/8/16,82.68
6/9/16,82.5
6/10/16,82.34
6/11/16,81.78
6/12/16,82.3
6/13/16,82.25
6/14/16,81.93
6/15/16,82.84
6/16/16,81.89
6/17/16,82.64
6/18/16,82.38
6/19/16,83
6/20/16,84.53
6/21/16,84.38
6/22/16,84.37
6/23/16,84.51
6/24/16,85.61
6/25/16,85.84
6/26/16,86.08
6/27/16,85.26
6/28/16,84.6
6/29/16,84.64
6/30/16,84.5
7/1/16,85.45
7/2/16,85.65
7/3/16,85.81
7/4/16,86.36
7/5/16,86.79
7/6/16,86.45
7/7/16,87.38
7/8/16,87.89
7/9/16,89.46
7/10/16,89.44
7/11/16,89.36
7/12/16,87.99
7/13/16,87.68
7/14/16,87
7/15/16,87.08
7/16/16,87.45
7/17/16,86.99
7/18/16,88.49
7/19/16,87.52
7/20/16,86.79
7/21/16,86.72
7/22/16,86.15
7/23/16,86.39
7/24/16,86.31
7/25/16,86.62
7/26/16,87.03
7/27/16,86.27
7/28/16,87.82
7/29/16,88.06
7/30/16,88.33
7/31/16,88.68
8/1/16,89.1
8/2/16,92.14
8/3/16,93.14
8/4/16,93.5
8/5/16,93.17
8/6/16,94.49
8/7/16,94.59
8/8/16,94.64
8/9/16,94.18
8/10/16,92.75
8/11/16,92.47
8/12/16,91.96
8/13/16,91.77
8/14/16,91.21
8/15/16,91.06
8/16/16,91.4
8/17/16,91.75
8/18/16,91.55
8/19/16,91.95
8/20/16,92.02
8/21/16,91.49
8/22/16,92.77
8/23/16,92.47
8/24/16,93.52
8/25/16,94.57
8/26/16,96.3
8/27/16,95.74
8/28/16,94.42
8/29/16,95.58
8/30/16,97.1
8/31/16,96.99
9/1/16,96.88
9/2/16,97.05
9/3/16,96.37
9/4/16,102.5
9/5/16,103.24
9/6/16,102.82
9/7/16,102.45
