Date,Close
3/3/15,75.45
3/4/15,73.6
3/5/15,74.7
3/6/15,74.06
3/7/15,74.24
3/8/15,73.59
3/9/15,74.24
3/10/15,76.66
3/11/15,76.92
3/12/15,78.65
3/13/15,79.9
3/14/15,80.05
3/15/15,80.46
3/16/15,79.38
3/17/15,79.28
3/18/15,79.25
3/19/15,76.2
3/20/15,77.03
3/21/15,78.47
3/22/15,79.44
3/23/15,78.78
3/24/15,75.65
3/25/15,76.12
3/26/15,78.24
3/27/15,78.47
3/28/15,80.84
3/29/15,81.74
3/30/15,82.34
3/31/15,80.73
4/1/15,80.2
4/2/15,80.75
4/3/15,82.84
4/4/15,73.29
4/5/15,74.64
4/6/15,77.5
4/7/15,77.72
4/8/15,76.88
4/9/15,76.09
4/10/15,74.76
4/11/15,74.99
4/12/15,77.47
4/13/15,74.86
4/14/15,73.75
4/15/15,73.61
4/16/15,73.28
4/17/15,73.3
4/18/15,74.01
4/19/15,73.91
4/20/15,73.99
4/21/15,74.26
4/22/15,75.11
4/23/15,76.05
4/24/15,75.71
4/25/15,77.26
4/26/15,77.78
4/27/15,77.45
4/28/15,78.87
4/29/15,78.76
4/30/15,77.71
5/1/15,78.39
5/2/15,78.4
5/3/15,76.61
5/4/15,75.68
5/5/15,75.38
5/6/15,76.61
5/7/15,75.46
5/8/15,76.89
5/9/15,74.67
5/10/15,75.66
5/11/15,77.7
5/12/15,77.73
5/13/15,77.94
5/14/15,77.64
5/15/15,79.4
5/16/15,79.92
5/17/15,80.97
5/18/15,80.38
5/19/15,80.32
5/20/15,80.75
5/21/15,77.47
5/22/15,78.92
5/23/15,77.02
5/24/15,73.77
5/25/15,74.31
5/26/15,73.9
5/27/15,74.53
5/28/15,73.7
5/29/15,75.68
5/30/15,74.83
5/31/15,76.18
6/1/15,76.74
6/2/15,76.6
6/3/15,77.41
6/4/15,77.58
6/5/15,78.92
6/6/15,78.92
6/7/15,78.84
6/8/15,78.57
6/9/15,77.85
6/10/15,78.02
6/11/15,79.64
6/12/15,76.34
6/13/15,78.63
6/14/15,77.98
6/15/15,81.03
6/16/15,80.5
6/17/15,79.15
6/18/15,77.91
6/19/15,78.41
6/20/15,75.99
6/21/15,76.95
6/22/15,76.59
6/23/15,76.67
6/24/15,76.85
6/25/15,75.7
6/26/15,76.63
6/27/15,77.25
6/28/15,75.89
6/29/15,75.63
6/30/15,70.31
7/1/15,69.91
7/2/15,68
7/3/15,68.67
7/4/15,71.41
7/5/15,72.36
7/6/15,72.54
7/7/15,70.96
7/8/15,68.92
7/9/15,69.95
7/10/15,71.22
7/11/15,69.79
7/12/15,73.33
7/13/15,72.02
7/14/15,72.66
7/15/15,73.6
7/16/15,73.56
7/17/15,74.26
7/18/15,73.94
7/19/15,74.61
7/20/15,74.36
7/21/15,74.41
7/22/15,73.06
7/23/15,72.99
7/24/15,72.12
7/25/15,72.86
7/26/15,69.03
7/27/15,68.94
7/28/15,69.45
7/29/15,71.58
7/30/15,72.23
7/31/15,76.47
8/1/15,74.58
8/2/15,74.97
8/3/15,73.02
8/4/15,74.42
8/5/15,74.28
8/6/15,74.16
8/7/15,73.9
8/8/15,75.64
8/9/15,76.46
8/10/15,75.79
8/11/15,74.73
8/12/15,73.02
8/13/15,77.95
8/14/15,78.89
8/15/15,78.8
8/16/15,80.17
8/17/15,82.15
8/18/15,81.56
