Date,Close
8/29/15,56.42
8/30/15,57.87
8/31/15,59.92
9/1/15,60.93
9/2/15,60.7
9/3/15,60.07
9/4/15,60.26
9/5/15,59.92
9/6/15,60.24
9/7/15,59.89
9/8/15,58.84
9/9/15,58.99
9/10/15,58.35
9/11/15,59.04
9/12/15,59.66
9/13/15,60.5
9/14/15,59.61
9/15/15,59.13
9/16/15,59.56
9/17/15,59.36
9/18/15,60.39
9/19/15,59.64
9/20/15,60.3
9/21/15,58.98
9/22/15,58.85
9/23/15,59.55
9/24/15,60.54
9/25/15,61.09
9/26/15,60.83
9/27/15,60.75
9/28/15,61.61
9/29/15,61.68
9/30/15,61.3
10/1/15,61.46
10/2/15,62.92
10/3/15,63.55
10/4/15,65.03
10/5/15,63.54
10/6/15,64.22
10/7/15,63.62
10/8/15,61.92
10/9/15,63.06
10/10/15,61.93
10/11/15,62.56
10/12/15,60.84
10/13/15,61.88
10/14/15,62.69
10/15/15,63.45
10/16/15,64
10/17/15,63.95
10/18/15,64.22
10/19/15,66.36
10/20/15,67.5
10/21/15,66.86
10/22/15,66.27
10/23/15,66.42
10/24/15,67
10/25/15,66.9
10/26/15,65.81
10/27/15,65.79
10/28/15,65.32
10/29/15,66.18
10/30/15,65.9
10/31/15,66.11
11/1/15,64.12
11/2/15,64.66
11/3/15,65.63
11/4/15,66.48
11/5/15,67.12
11/6/15,68.04
11/7/15,66.51
11/8/15,66.34
11/9/15,66.46
11/10/15,66.21
11/11/15,66.14
11/12/15,66.78
11/13/15,67.89
11/14/15,68.04
11/15/15,67.53
11/16/15,67.41
11/17/15,67.17
11/18/15,67.36
11/19/15,68.09
11/20/15,67.99
11/21/15,67.45
11/22/15,66.95
11/23/15,67.97
11/24/15,67.87
11/25/15,67.46
11/26/15,68
11/27/15,68.12
11/28/15,68.03
11/29/15,68.8
11/30/15,68.49
12/1/15,69.06
12/2/15,69.1
12/3/15,68.64
12/4/15,69.04
12/5/15,68.22
12/6/15,68.06
12/7/15,67.4
12/8/15,68.8
12/9/15,69.15
12/10/15,68.8
12/11/15,69.06
12/12/15,69.86
12/13/15,69.77
12/14/15,69.21
12/15/15,68.47
12/16/15,68.72
12/17/15,69.47
12/18/15,69.3
12/19/15,69.42
12/20/15,68.91
12/21/15,66.87
12/22/15,67.59
12/23/15,67
12/24/15,67.19
12/25/15,67.21
12/26/15,68.25
12/27/15,68.95
12/28/15,68.79
12/29/15,66.41
12/30/15,66.85
12/31/15,64.94
1/1/16,66.02
1/2/16,65.1
1/3/16,63.15
1/4/16,69.2
1/5/16,69.86
1/6/16,69.5
1/7/16,70.24
1/8/16,70.48
1/9/16,70.85
1/10/16,70.75
1/11/16,70.78
1/12/16,70.5
1/13/16,70.95
1/14/16,70.87
1/15/16,71.05
1/16/16,71.03
1/17/16,71.28
1/18/16,71.09
1/19/16,71.14
1/20/16,70.53
1/21/16,70.95
1/22/16,71.12
1/23/16,71.3
1/24/16,70.95
1/25/16,71.1
1/26/16,71.46
1/27/16,71.75
1/28/16,72.1
1/29/16,71.96
1/30/16,71.5
1/31/16,71.51
2/1/16,72.46
2/2/16,73.02
2/3/16,72.81
2/4/16,73.14
2/5/16,73.82
2/6/16,73.53
2/7/16,73.84
2/8/16,74.06
2/9/16,73.27
2/10/16,73.62
2/11/16,73.7
2/12/16,73.67
2/13/16,73.84
2/14/16,73.66
2/15/16,73.79
2/16/16,73.52
2/17/16,73.55
2/18/16,73.75
2/19/16,73.73
2/20/16,73.32
2/21/16,73.24
2/22/16,72.97
2/23/16,73.78
2/24/16,73.13
2/25/16,72.94
2/26/16,73.3
2/27/16,73.76
2/28/16,73.34
2/29/16,73.54
3/1/16,73.95
3/2/16,73.8
3/3/16,73.89
3/4/16,73.32
3/5/16,72.89
3/6/16,72.93
3/7/16,74.3
3/8/16,72.81
3/9/16,72.7
3/10/16,71.97
3/11/16,72.23
3/12/16,71.22
3/13/16,71.14
3/14/16,71.4
3/15/16,71.31
3/16/16,71.44
3/17/16,72.84
3/18/16,72.5
3/19/16,73
3/20/16,72.06
3/21/16,71.83
3/22/16,70.3
3/23/16,71.94
3/24/16,71.46
3/25/16,71.52
3/26/16,72.4
3/27/16,72.87
3/28/16,72.09
3/29/16,71.97
3/30/16,72.19
3/31/16,72.27
4/1/16,72.35
4/2/16,71.62
4/3/16,72.33
4/4/16,71.79
4/5/16,70.73
4/6/16,72.12
4/7/16,72.01
4/8/16,71.75
4/9/16,71.67
4/10/16,69.36
4/11/16,68.7
4/12/16,67.98
4/13/16,67.39
4/14/16,67.46
4/15/16,68.23
4/16/16,68.45
4/17/16,68.22
4/18/16,68.87
4/19/16,68.89
4/20/16,68.73
4/21/16,68.34
4/22/16,69.19
4/23/16,69.36
4/24/16,69.59
4/25/16,69.83
4/26/16,69.99
4/27/16,70.02
4/28/16,69.3
4/29/16,69.45
4/30/16,69.63
